,Unnamed: 0,disease,doctors
72,72,Alcoholic hepatitis,"Dr. Deepak Amarapurkar - Bombay Hospital, Mumbai"
73,73,Alcoholic hepatitis,"Dr. Prakash Doshi - Apollo Hospitals, Chennai"
74,74,Alcoholic hepatitis,"Dr. Santosh Kumar - Medanta Hospital, Gurugram"
75,75,Tuberculosis,"Dr. Rohit Bhatia - Fortis Memorial Research Institute, Gurugram"
76,76,Tuberculosis,"Dr. Anil Sharma - Indraprastha Apollo Hospital, Delhi"
77,77,Tuberculosis,"Dr. Satish Gupta - AIIMS, New Delhi"
78,78,Common Cold,"Dr. Manoj Kumar Jain - Max Hospital, Delhi"
79,79,Common Cold,"Dr. Harsh Vardhan - Apollo Hospitals, Hyderabad"
80,80,Common Cold,"Dr. Ashok Shukla - Fortis Hospital, Noida"
81,81,Pneumonia,"Dr. Vikas Maurya - Jaypee Hospital, Noida"
82,82,Pneumonia,"Dr. Arun Kumar - Apollo Hospitals, Bengaluru"
83,83,Pneumonia,"Dr. Shyam Bihari - AIIMS, New Delhi"
84,84,Dimorphic hemorrhoids (piles),"Dr. Nitin Dange - Wockhardt Hospital, Mumbai"
85,85,Dimorphic hemorrhoids (piles),"Dr. Anil Sharma - Jaslok Hospital, Mumbai"
86,86,Dimorphic hemorrhoids (piles),"Dr. Suresh Goyal - AIIMS, New Delhi"
87,87,Heart attack,"Dr. Ashok Seth - Fortis Escorts Heart Institute, Delhi"
88,88,Heart attack,"Dr. Ravi R. Kasliwal - Medanta Hospital, Gurugram"
89,89,Heart attack,"Dr. Anand Bhardwaj - Max Super Speciality Hospital, Delhi"
90,90,Varicose veins,"Dr. Pradeep Muley - Bombay Hospital, Mumbai"
91,91,Varicose veins,"Dr. K. S. Dhillon - Apollo Hospitals, Hyderabad"
92,92,Varicose veins,"Dr. Sunil Kapoor - Fortis Hospital, Bengaluru"
93,93,Hypothyroidism,"Dr. M. M. Bindra - Sir Ganga Ram Hospital, Delhi"
94,94,Hypothyroidism,"Dr. Sandeep Gupta - Apollo Hospitals, Chennai"
95,95,Hypothyroidism,"Dr. Neeraj Garg - Fortis Hospital, Noida"
96,96,Hyperthyroidism,"Dr. Sameer Kaul - Apollo Hospitals, Chennai"
97,97,Hyperthyroidism,"Dr. Amit Patil - Manipal Hospital, Bengaluru"
98,98,Hyperthyroidism,"Dr. Rakesh Mishra - Medanta Hospital, Gurugram"
99,99,Hypoglycemia,"Dr. Ambrish Mithal - Medanta Hospital, Gurugram"
100,100,Hypoglycemia,"Dr. Ravi Kumar - Apollo Hospitals, Hyderabad"
101,101,Hypoglycemia,"Dr. Anuj Gupta - Max Super Speciality Hospital, Delhi"
102,102,Osteoarthritis,"Dr. Ashok Rajgopal - Medanta Hospital, Gurugram"
103,103,Osteoarthritis,"Dr. Kunal Patel - Apollo Hospitals, Ahmedabad"
104,104,Osteoarthritis,"Dr. Sanjeev Kumar - Fortis Hospital, Mumbai"
105,105,Arthritis,"Dr. Shashank Akerkar - Apollo Hospitals, Mumbai"
106,106,Arthritis,"Dr. Vikrant Mohan - Fortis Hospitals, Bengaluru"
107,107,Arthritis,"Dr. Sandeep Sharma - Max Super Speciality Hospital, Delhi"
108,108,(Vertigo) Paroxysmal Positional,"Dr. Alok Thakar - Indraprastha Apollo Hospital, Delhi"
109,109,(Vertigo) Paroxysmal Positional,"Dr. Praveen Dey - AIIMS, New Delhi"
110,110,(Vertigo) Paroxysmal Positional,"Dr. Ravi S. Prakash - Fortis Hospital, Noida"
111,111,Vertigo,"Dr. Santosh Shrivastava - Max Hospital, Delhi"
112,112,Vertigo,"Dr. Kalyan Banerjee - Apollo Hospitals, Kolkata"
113,113,Vertigo,"Dr. Rajesh Kumar - Medanta Hospital, Gurugram"
114,114,Acne,"Dr. Jaideep Dhama - Kaya Skin Clinic, Mumbai"
115,115,Acne,"Dr. Shilpa Reddy - Apollo Hospitals, Hyderabad"
116,116,Acne,"Dr. Alok Pathak - Fortis Hospital, Bengaluru"
117,117,Urinary tract infection,"Dr. Sanjay Pandey - Apollo Hospitals, Hyderabad"
118,118,Urinary tract infection,"Dr. Anil Kapoor - Fortis Hospital, Bengaluru"
119,119,Urinary tract infection,"Dr. Manoj Tiwari - Max Super Speciality Hospital, Delhi"
120,120,Psoriasis,"Dr. Manish Shah - Jaslok Hospital, Mumbai"
121,121,Psoriasis,"Dr. S. K. Dutta - Apollo Hospitals, Chennai"
122,122,Psoriasis,"Dr. Rajiv Gupta - Fortis Hospital, Noida"
123,123,Impetigo,"Dr. Harshna Bijlani - Kokilaben Dhirubhai Ambani Hospital, Mumbai"
124,124,Impetigo,"Dr. Rohit Batra - Sir Ganga Ram Hospital, Delhi"
125,125,Impetigo,"Dr. Sachin Dhawan - Medanta Hospital, Gurugram"
